100	1	2	10000.000000	-0.000117	36.111
101	2	3	10000.000000	-0.000117	36.111
102	3	4	10000.000000	0.000116	36.111
103	4	5	10000.000000	-0.000341	36.111
104	5	6	10000.000000	-0.000341	36.111
105	6	7	10000.000000	-0.000226	36.111
106	7	8	10000.000000	0.011810	36.111
107	8	9	10000.000000	-0.007836	36.111
108	9	10	10000.000000	0.001525	36.111
109	10	11	10000.000000	0.000838	36.111
110	11	12	10000.000000	0.000895	36.111
111	12	13	10000.000000	0.000895	36.111
